origin,destination,airline,flight_num,origin_temp,origin_desc,dest_temp,dest_desc
TLC,MTY,4O,104,16.1,Partly Cloudy,18.7,Light drizzle
MTY,TLC,4O,119,18.7,Light drizzle,16.1,Partly Cloudy
MEX,MTY,4O,2100,17.3,Partly Cloudy,18.7,Light drizzle
MTY,MEX,4O,2101,18.7,Light drizzle,17.3,Partly Cloudy
MEX,MTY,4O,2102,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2102,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2102,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2102,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2102,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2102,17.3,Partly Cloudy,18.7,Light drizzle
MTY,MEX,4O,2103,18.7,Light drizzle,17.3,Partly Cloudy
MEX,MTY,4O,2104,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2104,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2104,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2106,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2106,17.3,Partly Cloudy,18.7,Light drizzle
MTY,MEX,4O,2107,18.7,Light drizzle,17.3,Partly Cloudy
MEX,MTY,4O,2108,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2108,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2108,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2110,17.3,Partly Cloudy,18.7,Light drizzle
MTY,MEX,4O,2111,18.7,Light drizzle,17.3,Partly Cloudy
MTY,MEX,4O,2111,18.7,Light drizzle,17.3,Partly Cloudy
MEX,MTY,4O,2112,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2112,17.3,Partly Cloudy,18.7,Light drizzle
MTY,MEX,4O,2113,18.7,Light drizzle,17.3,Partly Cloudy
MTY,MEX,4O,2117,18.7,Light drizzle,17.3,Partly Cloudy
MTY,MEX,4O,2117,18.7,Light drizzle,17.3,Partly Cloudy
MTY,MEX,4O,2117,18.7,Light drizzle,17.3,Partly Cloudy
MTY,MEX,4O,2117,18.7,Light drizzle,17.3,Partly Cloudy
MTY,MEX,4O,2117,18.7,Light drizzle,17.3,Partly Cloudy
MEX,MTY,4O,2118,17.3,Partly Cloudy,18.7,Light drizzle
MEX,MTY,4O,2118,17.3,Partly Cloudy,18.7,Light drizzle
MTY,MEX,4O,2119,18.7,Light drizzle,17.3,Partly Cloudy
MTY,MEX,4O,2119,18.7,Light drizzle,17.3,Partly Cloudy
